tanggal,komoditi,harga
2018-07-12,ayam boiler,35840.0
2018-05-21,ayam boiler,39940.0
2018-05-22,ayam boiler,40440.0
2018-11-26,ayam boiler,35660.0
2018-11-23,ayam boiler,35060.0
2018-11-22,ayam boiler,35860.0
2018-11-21,ayam boiler,37060.0
2018-11-19,ayam boiler,36860.0
2018-01-12,ayam boiler,36260.0
2018-11-16,ayam boiler,36860.0
2018-11-15,ayam boiler,36660.0
2018-11-14,ayam boiler,36000.0
2018-03-01,ayam boiler,37760.0
2018-01-09,ayam boiler,37300.0
2018-01-25,ayam boiler,37940.0
2018-03-02,ayam boiler,35560.0
2018-03-05,ayam boiler,36400.0
2018-03-06,ayam boiler,36600.0
2018-03-07,ayam boiler,36200.0
2018-08-31,ayam boiler,36040.0
2018-08-30,ayam boiler,35540.0
2018-08-29,ayam boiler,36540.0
2018-08-28,ayam boiler,36140.0
2018-12-31,ayam boiler,39200.0
2018-12-28,ayam boiler,39200.0
2018-12-27,ayam boiler,40200.0
2018-12-26,ayam boiler,39060.0
2018-12-21,ayam boiler,38860.0
2018-05-18,ayam boiler,40160.0
2018-05-17,ayam boiler,43000.0
2018-11-27,ayam boiler,35660.0
2018-11-28,ayam boiler,36260.0
2018-10-10,ayam boiler,38740.0
2018-10-11,ayam boiler,37540.0
2018-10-12,ayam boiler,38940.0
2018-10-15,ayam boiler,38540.0
2018-10-16,ayam boiler,37940.0
2018-10-17,ayam boiler,38940.0
2018-10-18,ayam boiler,38940.0
2018-10-19,ayam boiler,38940.0
2018-11-06,ayam boiler,36000.0
2018-10-23,ayam boiler,38740.0
2018-10-24,ayam boiler,38340.0
2018-10-25,ayam boiler,36540.0
2018-10-26,ayam boiler,36540.0
2018-08-27,ayam boiler,36540.0
2018-10-29,ayam boiler,36940.0
2018-10-31,ayam boiler,35800.0
2018-05-14,ayam boiler,37300.0
2018-05-15,ayam boiler,41100.0
2018-05-16,ayam boiler,39900.0
2018-01-15,ayam boiler,37460.0
2018-01-08,ayam boiler,36940.0
2018-01-22,ayam boiler,37940.0
2018-01-31,ayam boiler,38540.0
2018-01-30,ayam boiler,38540.0
2018-01-29,ayam boiler,38740.0
2018-01-26,ayam boiler,37740.0
2018-11-30,ayam boiler,37560.0
2018-11-29,ayam boiler,38260.0
2018-10-30,ayam boiler,36800.0
2018-08-23,ayam boiler,36540.0
2018-08-22,ayam boiler,36540.0
2018-08-21,ayam boiler,35940.0
2018-03-13,ayam boiler,37140.0
2018-03-14,ayam boiler,35540.0
2018-03-15,ayam boiler,37940.0
2018-03-16,ayam boiler,40040.0
2018-11-13,ayam boiler,36800.0
2018-11-12,ayam boiler,35800.0
2018-11-09,ayam boiler,36200.0
2018-03-19,ayam boiler,39660.0
2018-03-20,ayam boiler,36960.0
2018-03-21,ayam boiler,38060.0
2018-03-22,ayam boiler,38400.0
2018-03-23,ayam boiler,40500.0
2018-03-26,ayam boiler,38460.0
2018-03-12,ayam boiler,36340.0
2018-03-27,ayam boiler,37860.0
2018-03-29,ayam boiler,34260.0
2018-11-08,ayam boiler,35500.0
2018-11-07,ayam boiler,36400.0
2018-05-31,ayam boiler,35940.0
2018-05-30,ayam boiler,38660.0
2018-05-28,ayam boiler,39560.0
2018-05-25,ayam boiler,40160.0
2018-05-24,ayam boiler,38360.0
2018-01-11,ayam boiler,38260.0
2018-05-23,ayam boiler,38240.0
2018-11-01,ayam boiler,36600.0
2018-11-02,ayam boiler,36400.0
2018-11-05,ayam boiler,36000.0
2018-03-28,ayam boiler,37760.0
2018-10-09,ayam boiler,34940.0
2018-01-24,ayam boiler,37040.0
2018-08-01,ayam boiler,33340.0
2018-08-20,ayam boiler,36300.0
2018-08-16,ayam boiler,36840.0
2018-08-15,ayam boiler,35540.0
2018-12-20,ayam boiler,39060.0
2018-12-19,ayam boiler,39060.0
2018-12-18,ayam boiler,39060.0
2018-12-17,ayam boiler,37640.0
2018-12-14,ayam boiler,37760.0
2018-08-14,ayam boiler,36540.0
2018-12-13,ayam boiler,37360.0
2018-12-12,ayam boiler,37560.0
2018-12-11,ayam boiler,37660.0
2018-12-10,ayam boiler,37460.0
2018-03-09,ayam boiler,38700.0
2018-12-07,ayam boiler,36860.0
2018-12-05,ayam boiler,37460.0
2018-12-04,ayam boiler,37560.0
2018-12-03,ayam boiler,38060.0
2018-01-10,ayam boiler,36260.0
2018-08-13,ayam boiler,35840.0
2018-08-10,ayam boiler,34340.0
2018-03-08,ayam boiler,34400.0
2018-08-09,ayam boiler,35740.0
2018-08-08,ayam boiler,34140.0
2018-08-07,ayam boiler,35740.0
2018-08-06,ayam boiler,35340.0
2018-08-03,ayam boiler,33940.0
2018-08-02,ayam boiler,34940.0
2018-12-06,ayam boiler,37060.0
2018-10-08,ayam boiler,36740.0
2018-10-22,ayam boiler,38540.0
2018-10-04,ayam boiler,36740.0
2018-01-03,ayam boiler,38940.0
2018-09-06,ayam boiler,34940.0
2018-09-05,ayam boiler,35940.0
2018-09-04,ayam boiler,35940.0
2018-09-03,ayam boiler,35440.0
2018-06-26,ayam boiler,37140.0
2018-06-28,ayam boiler,33940.0
2018-06-29,ayam boiler,35940.0
2018-04-25,ayam boiler,36740.0
2018-04-24,ayam boiler,37440.0
2018-04-23,ayam boiler,36600.0
2018-04-20,ayam boiler,37200.0
2018-04-19,ayam boiler,37500.0
2018-04-18,ayam boiler,37700.0
2018-09-07,ayam boiler,34940.0
2018-07-23,ayam boiler,36340.0
2018-07-25,ayam boiler,36540.0
2018-07-26,ayam boiler,38800.0
2018-04-17,ayam boiler,36500.0
2018-04-16,ayam boiler,37100.0
2018-04-13,ayam boiler,36700.0
2018-04-12,ayam boiler,37200.0
2018-04-11,ayam boiler,38300.0
2018-04-10,ayam boiler,37300.0
2018-04-09,ayam boiler,37500.0
2018-10-05,ayam boiler,36540.0
2018-07-27,ayam boiler,36800.0
2018-04-05,ayam boiler,37540.0
2018-04-04,ayam boiler,37040.0
2018-04-03,ayam boiler,36440.0
2018-07-24,ayam boiler,36340.0
2018-07-30,ayam boiler,38800.0
2018-09-10,ayam boiler,35540.0
2018-09-13,ayam boiler,37340.0
2018-06-25,ayam boiler,37140.0
2018-01-02,ayam boiler,39740.0
2018-06-22,ayam boiler,34540.0
2018-06-21,ayam boiler,37540.0
2018-06-08,ayam boiler,35540.0
2018-06-07,ayam boiler,35640.0
2018-06-06,ayam boiler,38740.0
2018-06-05,ayam boiler,38140.0
2018-06-04,ayam boiler,36640.0
2018-04-30,ayam boiler,38060.0
2018-01-16,ayam boiler,37140.0
2018-04-27,ayam boiler,38260.0
2018-07-16,ayam boiler,35540.0
2018-07-17,ayam boiler,36840.0
2018-09-12,ayam boiler,37540.0
2018-07-18,ayam boiler,35540.0
2018-04-26,ayam boiler,37200.0
2018-01-17,ayam boiler,37540.0
2018-09-28,ayam boiler,36440.0
2018-09-27,ayam boiler,37340.0
2018-09-26,ayam boiler,36740.0
2018-09-25,ayam boiler,37540.0
2018-09-24,ayam boiler,36440.0
2018-09-21,ayam boiler,36940.0
2018-07-20,ayam boiler,36140.0
2018-09-20,ayam boiler,36740.0
2018-09-19,ayam boiler,35940.0
2018-09-18,ayam boiler,36540.0
2018-09-17,ayam boiler,37540.0
2018-09-14,ayam boiler,37040.0
2018-07-19,ayam boiler,36440.0
2018-07-31,ayam boiler,37800.0
2018-04-06,ayam boiler,37200.0
2018-01-18,ayam boiler,37240.0
2018-04-02,ayam boiler,39340.0
2018-02-09,ayam boiler,35900.0
2018-02-08,ayam boiler,35140.0
2018-02-07,ayam boiler,37900.0
2018-07-11,ayam boiler,34340.0
2018-07-10,ayam boiler,35740.0
2018-07-09,ayam boiler,34140.0
2018-07-06,ayam boiler,35740.0
2018-07-05,ayam boiler,35340.0
2018-07-04,ayam boiler,33940.0
2018-02-12,ayam boiler,37200.0
2018-07-03,ayam boiler,34940.0
2018-02-06,ayam boiler,36040.0
2018-02-05,ayam boiler,36840.0
2018-02-02,ayam boiler,36900.0
2018-02-01,ayam boiler,36900.0
2018-05-11,ayam boiler,38060.0
2018-07-13,ayam boiler,36540.0
2018-01-05,ayam boiler,36940.0
2018-10-01,ayam boiler,36940.0
2018-10-02,ayam boiler,34940.0
2018-10-03,ayam boiler,34940.0
2018-07-02,ayam boiler,33340.0
2018-02-13,ayam boiler,36460.0
2018-01-23,ayam boiler,36440.0
2018-02-23,ayam boiler,34260.0
2018-02-27,ayam boiler,34560.0
2018-02-26,ayam boiler,33760.0
2018-02-22,ayam boiler,35060.0
2018-02-21,ayam boiler,34960.0
2018-02-20,ayam boiler,34260.0
2018-02-19,ayam boiler,38460.0
2018-02-15,ayam boiler,37460.0
2018-05-08,ayam boiler,37860.0
2018-05-07,ayam boiler,37660.0
2018-05-04,ayam boiler,38260.0
2018-02-28,ayam boiler,33560.0
2018-05-02,ayam boiler,38260.0
2018-05-03,ayam boiler,38060.0
2018-01-04,ayam boiler,37440.0
2018-02-14,ayam boiler,37060.0
2018-05-09,ayam boiler,38660.0
2018-01-19,ayam boiler,38140.0
2018-01-18,ayam kampung,74250.0
2018-04-06,ayam kampung,63667.0
2018-04-05,ayam kampung,87100.0
2018-04-09,ayam kampung,67750.0
2018-04-04,ayam kampung,87075.0
2018-01-19,ayam kampung,80667.0
2018-04-03,ayam kampung,85825.0
2018-04-11,ayam kampung,80825.0
2018-04-12,ayam kampung,74575.0
2018-04-13,ayam kampung,75825.0
2018-04-02,ayam kampung,82233.0
2018-04-16,ayam kampung,80825.0
2018-04-17,ayam kampung,86100.0
2018-04-10,ayam kampung,86667.0
2018-11-07,ayam kampung,92700.0
2018-11-01,ayam kampung,89575.0
2018-11-08,ayam kampung,92700.0
2018-11-09,ayam kampung,92075.0
2018-11-12,ayam kampung,85825.0
2018-11-13,ayam kampung,81675.0
2018-01-22,ayam kampung,80075.0
2018-01-17,ayam kampung,79675.0
2018-11-14,ayam kampung,81675.0
2018-11-15,ayam kampung,82075.0
2018-11-16,ayam kampung,82075.0
2018-11-19,ayam kampung,81450.0
2018-11-21,ayam kampung,81450.0
2018-11-22,ayam kampung,81450.0
2018-11-05,ayam kampung,89575.0
2018-11-26,ayam kampung,83950.0
2018-11-27,ayam kampung,83950.0
2018-11-28,ayam kampung,88950.0
2018-11-29,ayam kampung,82075.0
2018-11-30,ayam kampung,84575.0
2018-11-02,ayam kampung,89575.0
2018-11-06,ayam kampung,89575.0
2018-11-23,ayam kampung,83950.0
2018-08-06,ayam kampung,66660.0
2018-05-02,ayam kampung,80825.0
2018-02-23,ayam kampung,83667.0
2018-02-22,ayam kampung,75825.0
2018-02-21,ayam kampung,77075.0
2018-02-20,ayam kampung,82767.00000000001
2018-02-19,ayam kampung,84433.0
2018-02-15,ayam kampung,84433.0
2018-02-14,ayam kampung,82075.0
2018-02-13,ayam kampung,78325.0
2018-02-12,ayam kampung,82500.0
2018-02-09,ayam kampung,84433.0
2018-02-08,ayam kampung,84175.0
2018-02-07,ayam kampung,82300.0
2018-02-26,ayam kampung,81450.0
2018-02-06,ayam kampung,81100.0
2018-02-02,ayam kampung,82767.00000000001
2018-02-01,ayam kampung,81100.0
2018-06-29,ayam kampung,87767.0
2018-10-01,ayam kampung,88125.0
2018-10-02,ayam kampung,88750.0
2018-10-03,ayam kampung,88750.0
2018-10-04,ayam kampung,83750.0
2018-10-05,ayam kampung,88750.0
2018-10-08,ayam kampung,82500.0
2018-10-09,ayam kampung,93750.0
2018-10-10,ayam kampung,87500.0
2018-10-11,ayam kampung,87500.0
2018-02-05,ayam kampung,82767.00000000001
2018-10-12,ayam kampung,83750.0
2018-02-27,ayam kampung,84433.0
2018-06-28,ayam kampung,87075.0
2018-09-19,ayam kampung,85000.0
2018-09-20,ayam kampung,82500.0
2018-09-21,ayam kampung,81250.0
2018-09-24,ayam kampung,81250.0
2018-09-25,ayam kampung,87500.0
2018-09-26,ayam kampung,82500.0
2018-09-27,ayam kampung,87500.0
2018-09-28,ayam kampung,95000.0
2018-09-14,ayam kampung,86250.0
2018-09-13,ayam kampung,86250.0
2018-09-12,ayam kampung,88750.0
2018-09-10,ayam kampung,87500.0
2018-02-28,ayam kampung,83950.0
2018-09-07,ayam kampung,85000.0
2018-09-05,ayam kampung,82500.0
2018-09-04,ayam kampung,82500.0
2018-09-03,ayam kampung,80000.0
2018-06-04,ayam kampung,82075.0
2018-06-05,ayam kampung,82767.0
2018-06-06,ayam kampung,90825.0
2018-06-07,ayam kampung,80825.0
2018-06-08,ayam kampung,82075.0
2018-06-21,ayam kampung,85825.0
2018-06-22,ayam kampung,84433.0
2018-06-25,ayam kampung,94433.0
2018-06-26,ayam kampung,94433.0
2018-09-06,ayam kampung,82500.0
2018-01-23,ayam kampung,80075.0
2018-10-15,ayam kampung,83750.0
2018-10-17,ayam kampung,89375.0
2018-08-07,ayam kampung,93325.0
2018-01-25,ayam kampung,80333.0
2018-04-18,ayam kampung,86100.0
2018-08-03,ayam kampung,80825.0
2018-08-02,ayam kampung,82075.0
2018-08-01,ayam kampung,82075.0
2018-05-31,ayam kampung,83325.0
2018-01-24,ayam kampung,80075.0
2018-05-30,ayam kampung,88900.0
2018-09-18,ayam kampung,84375.0
2018-05-25,ayam kampung,97925.0
2018-05-24,ayam kampung,84175.0
2018-08-08,ayam kampung,84175.0
2018-05-23,ayam kampung,89433.0
2018-05-21,ayam kampung,88325.0
2018-05-18,ayam kampung,89433.0
2018-05-17,ayam kampung,87767.0
2018-05-16,ayam kampung,88325.0
2018-05-15,ayam kampung,85825.0
2018-05-14,ayam kampung,85825.0
2018-05-11,ayam kampung,87767.0
2018-05-09,ayam kampung,85825.0
2018-05-08,ayam kampung,87767.0
2018-05-07,ayam kampung,87075.0
2018-05-04,ayam kampung,81100.0
2018-05-03,ayam kampung,81100.0
2018-05-22,ayam kampung,87075.0
2018-10-16,ayam kampung,85000.0
2018-08-09,ayam kampung,84175.0
2018-08-13,ayam kampung,81675.0
2018-10-18,ayam kampung,92500.0
2018-10-19,ayam kampung,86250.0
2018-10-22,ayam kampung,86250.0
2018-10-23,ayam kampung,86250.0
2018-10-24,ayam kampung,86250.0
2018-10-25,ayam kampung,84375.0
2018-10-26,ayam kampung,84375.0
2018-10-29,ayam kampung,84375.0
2018-10-30,ayam kampung,82075.0
2018-10-31,ayam kampung,90825.0
2018-01-31,ayam kampung,74750.0
2018-01-30,ayam kampung,82925.0
2018-08-10,ayam kampung,81675.0
2018-01-29,ayam kampung,82925.0
2018-08-31,ayam kampung,87500.0
2018-08-30,ayam kampung,83750.0
2018-08-29,ayam kampung,84375.0
2018-08-28,ayam kampung,91875.0
2018-08-27,ayam kampung,94375.0
2018-08-23,ayam kampung,97925.0
2018-08-22,ayam kampung,94175.0
2018-08-21,ayam kampung,85425.0
2018-08-20,ayam kampung,85567.0
2018-08-16,ayam kampung,87925.0
2018-08-15,ayam kampung,84175.0
2018-08-14,ayam kampung,81675.0
2018-01-26,ayam kampung,80567.0
2018-04-19,ayam kampung,85200.0
2018-05-28,ayam kampung,105567.0
2018-04-23,ayam kampung,88325.0
2018-03-26,ayam kampung,87767.0
2018-01-10,ayam kampung,84000.0
2018-03-27,ayam kampung,88750.0
2018-12-03,ayam kampung,93325.0
2018-12-04,ayam kampung,88325.0
2018-12-05,ayam kampung,90825.0
2018-12-06,ayam kampung,90825.0
2018-12-07,ayam kampung,90825.0
2018-12-10,ayam kampung,89575.0
2018-12-11,ayam kampung,78325.0
2018-12-12,ayam kampung,80000.0
2018-01-09,ayam kampung,82100.0
2018-12-13,ayam kampung,84375.0
2018-12-14,ayam kampung,83750.0
2018-12-17,ayam kampung,83925.0
2018-03-23,ayam kampung,77075.0
2018-12-18,ayam kampung,83750.0
2018-03-22,ayam kampung,86100.0
2018-03-20,ayam kampung,85825.0
2018-01-12,ayam kampung,88000.0
2018-03-01,ayam kampung,66160.0
2018-03-02,ayam kampung,85825.0
2018-03-05,ayam kampung,87767.0
2018-03-06,ayam kampung,87767.0
2018-03-07,ayam kampung,86100.0
2018-03-08,ayam kampung,81675.0
2018-03-09,ayam kampung,83900.0
2018-03-12,ayam kampung,80425.0
2018-01-11,ayam kampung,79250.0
2018-03-13,ayam kampung,79900.0
2018-03-14,ayam kampung,85567.0
2018-03-15,ayam kampung,79800.0
2018-03-16,ayam kampung,80550.0
2018-03-19,ayam kampung,82825.0
2018-03-21,ayam kampung,86100.0
2018-04-30,ayam kampung,85825.0
2018-12-19,ayam kampung,83750.0
2018-12-21,ayam kampung,86250.0
2018-07-17,ayam kampung,87075.0
2018-07-16,ayam kampung,82767.0
2018-07-13,ayam kampung,77075.0
2018-07-12,ayam kampung,77075.0
