tanggal,harga_ayam_boiler,harga ayam kampung,harga bawang merah medium,harga bawang putih impor honan,harga bawang putih impor kating,harga beras medium,harga beras premium,harga cabai merah besar,harga cabai merah keriting,harga cabai rawit hijau,harga cabai rawit merah,harga daging sapi impor beku,harga daging sapi lokal daging has luar sirloin,harga daging sapi lokal daging sandung lamur brisket,harga daging sapi lokal daging tetelan,harga daging sapi lokal has dalam,harga daging sapi lokal paha belakang,harga garam beryodium bata,harga garam beryodium halus,harga gula pasir,harga ikan kembung,harga ikan teri asin,harga indomie rasa kari ayam,harga jagung pipilan kecil,harga kacang hijau,harga kacang kedelai eks impor,harga kacang kedelai lokal,harga kacang tanah,harga ketela pohon,harga minyak goreng bimoli botol,harga minyak goreng curah,harga susu bubuk kaleng merk bendera,harga susu bubuk kaleng merk indomilk,harga susu kental manis kaleng merk bendera,harga susu kental manis kaleng merk indomilk,harga telur ayam kampung,harga telur ayam ras,harga tepung terigu segitiga biru
2018-01-02,39740.0,55075.0,26800.0,25000.0,28560.0,11340.0,11340.0,37260.0,37140.0,34800.0,56240.0,120000.0,118333.0,89167.0,70833.0,143333.0,117660.0,3220.0,11260.0,13740.0,36660.0,109400.0,2740.0,16833.0,22340.0,12300.0,3333.0,25500.0,5060.0,14040.0,12388.0,43667.0,42000.0,12340.0,10300.0,2100.0,26150.0,10160.0
2018-01-03,38940.0,55075.0,27800.0,25000.0,30260.0,11440.0,11440.0,37260.0,38640.0,35300.0,58240.0,120000.0,117500.0,89167.0,75000.0,141667.0,117660.0,3320.0,10660.0,13840.0,35660.0,108400.0,2740.0,16833.0,22540.0,12300.0,3333.0,25700.0,5060.0,14240.0,12450.0,43667.0,42000.0,12240.0,10400.0,2150.0,26200.0,10360.0
2018-01-04,37440.0,53825.0,28400.0,27500.0,28660.0,11490.0,11490.0,39260.0,39340.0,41400.0,61140.0,120000.0,118333.0,95000.0,80000.0,146667.0,117660.0,3000.0,13060.0,13390.0,35860.0,106000.0,2740.0,16833.0,22540.0,12050.0,3333.0,25600.0,5060.0,14240.0,12575.0,43667.0,42000.0,11940.0,10600.0,2100.0,26300.0,9860.0
2018-01-05,36940.0,78825.0,27900.0,27500.0,28960.0,11740.0,11740.0,40260.0,42340.0,40400.0,57340.0,120000.0,120000.0,102500.0,76667.0,146667.0,119660.0,3100.0,11260.0,13640.0,35360.0,102000.0,2800.0,15167.0,23200.0,12800.0,3333.0,25700.0,4960.0,14040.0,12200.0,43667.0,42000.0,11940.0,10300.0,2120.0,26450.0,9610.0
2018-01-08,36940.0,77575.0,27900.0,27500.0,28960.0,11740.0,11740.0,40260.0,42340.0,40400.0,57340.0,120000.0,120000.0,102500.0,76667.0,146667.0,119660.0,3120.0,11460.0,13640.0,35360.0,102000.0,2400.0,15167.0,23200.0,12800.0,3333.0,25700.0,4960.0,13440.0,12200.0,43667.0,42000.0,11940.0,10300.0,2120.0,26450.0,9610.0
2018-01-09,37300.0,82100.0,28100.0,28500.0,28340.0,11480.0,11480.0,39340.0,38600.0,38440.0,54340.0,120000.0,116667.0,95000.0,81667.0,143333.0,117660.0,3520.0,12300.0,13540.0,36660.0,105200.0,2320.0,15167.0,23340.0,12175.0,3667.0,26300.0,4900.0,13400.0,12625.0,44167.0,42500.0,11960.0,10440.0,2110.0,26260.0,9840.0
2018-01-10,36260.0,84000.0,28040.0,28500.0,27140.0,11620.0,11620.0,40040.0,42860.0,35540.0,48660.0,120000.0,120000.0,98333.0,65833.0,143333.0,118660.0,3720.0,12660.0,13600.0,37660.0,100660.0,2360.0,15167.0,23340.0,12375.0,3667.0,25600.0,4800.0,13640.0,12300.0,44167.0,42400.0,12060.0,10300.0,2160.0,26000.0,9900.0
2018-01-11,38260.0,79250.0,27340.0,28500.0,27940.0,11620.0,11620.0,42340.0,46860.0,37040.0,53660.0,120000.0,120000.0,101667.0,70000.0,143333.0,119660.0,3920.0,11460.0,13600.0,37660.0,101660.0,2360.0,15500.0,22940.0,12500.0,3667.0,25500.0,4800.0,13340.0,12363.0,44167.0,42400.0,11660.0,10300.0,2110.0,25900.0,10000.0
2018-01-12,36260.0,88000.0,25640.0,26000.0,27440.0,11520.0,11520.0,41040.0,44360.0,38340.0,49160.0,120000.0,120000.0,96667.0,73333.0,142500.0,119660.0,3720.0,11360.0,13700.0,37660.0,100960.0,2360.0,15500.0,22240.0,12000.0,3667.0,25700.0,4800.0,13440.0,12300.0,44167.0,42400.0,11610.0,10300.0,2160.0,25700.0,9900.0
2018-01-15,37460.0,85767.0,27600.0,25500.0,28960.0,12240.0,12240.0,41040.0,44140.0,42400.0,56740.0,120000.0,121667.0,101667.0,70000.0,148333.0,119660.0,3780.0,13100.0,14040.0,37800.0,107660.0,2400.0,15567.0,22660.0,12050.0,3667.0,25360.0,4740.0,13510.0,12625.0,44667.0,43067.0,12060.0,10700.0,2040.0,25760.0,10040.0
2018-01-16,37140.0,81233.0,25940.0,27500.0,28840.0,12260.0,12260.0,41360.0,44860.0,38200.0,54260.0,120000.0,121667.0,98333.0,80000.0,148333.0,119660.0,3220.0,10900.0,13860.0,36660.0,105940.0,2380.0,15100.0,22740.0,12050.0,4000.0,25100.0,4800.0,13490.0,12500.0,44100.0,42433.0,12460.0,10700.0,1980.0,25400.0,10040.0
